"filename", "language", "Makefile", "C", "C++", "Markdown", "Python", "comment", "blank", "total"
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/include/io.h", "C++", 0, 0, 81, 0, 0, 0, 17, 98
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/aclock/aclock.c", "C", 0, 184, 0, 0, 0, 23, 13, 220
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/ant/ant.c", "C", 0, 56, 0, 0, 0, 1, 14, 71
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/bf/bf.c", "C", 0, 73, 0, 0, 0, 18, 8, 99
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/bf/mandelbrot.h", "C++", 0, 0, 146, 0, 0, 0, 1, 147
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/cmatrix/cmatrix.c", "C", 0, 50, 0, 0, 0, 12, 11, 73
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/donut/donut.c", "C", 0, 61, 0, 0, 0, 12, 10, 83
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/galton/galton.c", "C", 0, 82, 0, 0, 0, 1, 14, 97
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/hanoi/hanoi.c", "C", 0, 47, 0, 0, 0, 1, 13, 61
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/life/life.c", "C", 0, 47, 0, 0, 0, 1, 9, 57
"/home/xiangui/ysyx-workbench/am-kernels/kernels/demo/src/main.c", "C", 0, 40, 0, 0, 0, 0, 5, 45
"/home/xiangui/ysyx-workbench/am-kernels/kernels/hello/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/hello/hello.c", "C", 0, 11, 0, 0, 0, 0, 3, 14
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/common.c", "C", 0, 11, 0, 0, 0, 2, 4, 17
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/common.h", "C", 0, 22, 0, 0, 0, 4, 8, 34
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu-addressing.c", "C", 0, 79, 0, 0, 0, 4, 19, 102
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu-internal.h", "C++", 0, 0, 51, 0, 0, 2, 11, 64
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu.c", "C", 0, 506, 0, 0, 0, 27, 74, 607
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu.h", "C++", 0, 0, 11, 0, 0, 1, 6, 18
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/fce.c", "C", 0, 109, 0, 0, 0, 3, 29, 141
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/fce.h", "C++", 0, 0, 23, 0, 0, 0, 6, 29
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/main.c", "C", 0, 18, 0, 0, 0, 0, 5, 23
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/mario-rom.c", "C", 0, 3418, 0, 0, 0, 0, 1, 3419
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/memory.c", "C", 0, 36, 0, 0, 0, 1, 5, 42
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/memory.h", "C++", 0, 0, 9, 0, 0, 2, 5, 16
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/mmc.c", "C", 0, 24, 0, 0, 0, 0, 8, 32
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/mmc.h", "C++", 0, 0, 6, 0, 0, 0, 3, 9
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/ppu.c", "C", 0, 310, 0, 0, 0, 51, 72, 433
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/ppu.h", "C++", 0, 0, 30, 0, 0, 0, 12, 42
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/psg.c", "C", 0, 45, 0, 0, 0, 2, 8, 55
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/psg.h", "C++", 0, 0, 16, 0, 0, 0, 5, 21
"/home/xiangui/ysyx-workbench/am-kernels/kernels/nemu/Makefile", "Makefile", 24, 0, 0, 0, 0, 0, 8, 32
"/home/xiangui/ysyx-workbench/am-kernels/kernels/slider/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/slider/main.c", "C", 0, 25, 0, 0, 0, 1, 7, 33
"/home/xiangui/ysyx-workbench/am-kernels/kernels/snake/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/snake/snake.c", "C", 0, 158, 0, 0, 0, 0, 31, 189
"/home/xiangui/ysyx-workbench/am-kernels/kernels/thread-os/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/thread-os/thread-os.c", "C", 0, 56, 0, 0, 0, 2, 13, 71
"/home/xiangui/ysyx-workbench/am-kernels/kernels/typing-game/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/typing-game/font.c", "C", 0, 28, 0, 0, 0, 0, 1, 29
"/home/xiangui/ysyx-workbench/am-kernels/kernels/typing-game/game.c", "C", 0, 151, 0, 0, 0, 0, 25, 176
"/home/xiangui/ysyx-workbench/am-kernels/kernels/yield-os/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/yield-os/yield-os.c", "C", 0, 27, 0, 0, 0, 0, 5, 32
"/home/xiangui/ysyx-workbench/am-kernels/tests/alu-tests/Makefile", "Makefile", 8, 0, 0, 0, 0, 0, 4, 12
"/home/xiangui/ysyx-workbench/am-kernels/tests/alu-tests/build/alu_test.c", "C", 0, 22365, 0, 0, 0, 0, 1, 22366
"/home/xiangui/ysyx-workbench/am-kernels/tests/alu-tests/gen_alu_test.c", "C", 0, 102, 0, 0, 0, 7, 22, 131
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/include/amtest.h", "C++", 0, 0, 19, 0, 0, 0, 6, 25
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/main.c", "C", 0, 36, 0, 0, 0, 0, 4, 40
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/audio.c", "C", 0, 22, 0, 0, 0, 1, 5, 28
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/devscan.c", "C", 0, 55, 0, 0, 0, 0, 15, 70
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/hello.c", "C", 0, 6, 0, 0, 0, 0, 2, 8
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/intr.c", "C", 0, 24, 0, 0, 0, 0, 3, 27
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/keyboard.c", "C", 0, 30, 0, 0, 0, 0, 6, 36
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/mp.c", "C", 0, 6, 0, 0, 0, 0, 2, 8
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/rtc.c", "C", 0, 16, 0, 0, 0, 0, 2, 18
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/video.c", "C", 0, 76, 0, 0, 0, 1, 14, 91
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/vm.c", "C", 0, 78, 0, 0, 0, 0, 13, 91
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/Makefile", "Makefile", 26, 0, 0, 0, 0, 0, 11, 37
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/include/trap.h", "C++", 0, 0, 10, 0, 0, 0, 4, 14
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/add-longlong.c", "C", 0, 17, 0, 0, 0, 0, 6, 23
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/add.c", "C", 0, 19, 0, 0, 0, 0, 7, 26
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/bit.c", "C", 0, 40, 0, 0, 0, 0, 7, 47
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/bubble-sort.c", "C", 0, 29, 0, 0, 0, 0, 11, 40
