Date : 2023-12-20 13:31:33
Directory : /home/xiangui/ysyx-workbench/npc
Total : 89 files,  5634 codes, 985 comments, 868 blanks, all 7487 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         70 |      4,768 |        722 |        697 |      6,187 |
| vcd      |          1 |        322 |          0 |          4 |        326 |
| Verilog  |          7 |        284 |          9 |         36 |        329 |
| Makefile |         11 |        260 |        254 |        131 |        645 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Syms.cpp                                | C++      |         21 |          9 |          4 |         34 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Syms.h                                  | C++      |         20 |         13 |         12 |         45 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Trace.cpp                               | C++      |        204 |          5 |          6 |        215 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Trace__0.cpp                            | C++      |        174 |          8 |          6 |        188 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Trace__0__Slow.cpp                      | C++      |        305 |         10 |          9 |        324 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Trace__Slow.cpp                         | C++      |        323 |          7 |         10 |        340 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024root.cpp                            | C++      |        226 |         14 |         13 |        253 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024root.h                              | C++      |         44 |          8 |         12 |         64 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024root__DepSet_he0c52e61__0.cpp       | C++      |         96 |          6 |          9 |        111 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024root__DepSet_he0c52e61__0__Slow.cpp | C++      |         18 |          4 |          5 |         27 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024root__DepSet_hef1e4a62__0.cpp       | C++      |        242 |         11 |         12 |        265 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024root__DepSet_hef1e4a62__0__Slow.cpp | C++      |        142 |         12 |         15 |        169 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024root__Slow.cpp                      | C++      |         16 |          4 |          7 |         27 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024unit.cpp                            | C++      |         10 |          5 |          6 |         21 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024unit.h                              | C++      |         13 |          6 |         10 |         29 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc___024unit__DepSet_h4015cd21__0__Slow.cpp | C++      |          8 |          3 |          4 |         15 |
