"filename", "language", "Verilog", "C++", "Makefile", "vcd", "comment", "blank", "total"
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile.cpp", "C++", 0, 108, 0, 0, 23, 21, 152
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile.h", "C++", 0, 36, 0, 0, 32, 13, 81
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile.mk", "Makefile", 0, 0, 25, 0, 29, 15, 69
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__ALL.cpp", "C++", 0, 7, 0, 0, 1, 1, 9
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Syms.cpp", "C++", 0, 15, 0, 0, 8, 4, 27
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Syms.h", "C++", 0, 17, 0, 0, 12, 11, 40
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Trace.cpp", "C++", 0, 57, 0, 0, 5, 6, 68
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Trace__Slow.cpp", "C++", 0, 98, 0, 0, 7, 10, 115
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024root.cpp", "C++", 0, 109, 0, 0, 13, 10, 132
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024root.h", "C++", 0, 30, 0, 0, 12, 17, 59
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024root__Slow.cpp", "C++", 0, 54, 0, 0, 8, 13, 75
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024unit.cpp", "C++", 0, 2, 0, 0, 4, 3, 9
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024unit.h", "C++", 0, 18, 0, 0, 10, 15, 43
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024unit__Slow.cpp", "C++", 0, 21, 0, 0, 6, 9, 36
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile_classes.mk", "Makefile", 0, 0, 22, 0, 22, 10, 54
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder.cpp", "C++", 0, 128, 0, 0, 23, 21, 172
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder.h", "C++", 0, 56, 0, 0, 32, 13, 101
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder.mk", "Makefile", 0, 0, 25, 0, 29, 15, 69
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder__Syms.cpp", "C++", 0, 15, 0, 0, 8, 4, 27
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder__Syms.h", "C++", 0, 17, 0, 0, 12, 11, 40
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder__Trace.cpp", "C++", 0, 126, 0, 0, 5, 6, 137
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder__Trace__Slow.cpp", "C++", 0, 245, 0, 0, 7, 10, 262
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder___024root.cpp", "C++", 0, 243, 0, 0, 18, 14, 275
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder___024root.h", "C++", 0, 57, 0, 0, 12, 17, 86
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder___024root__Slow.cpp", "C++", 0, 141, 0, 0, 9, 13, 163
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_adder_classes.mk", "Makefile", 0, 0, 22, 0, 22, 10, 54
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc.cpp", "C++", 0, 94, 0, 0, 23, 24, 141
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc.h", "C++", 0, 38, 0, 0, 33, 14, 85
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc.mk", "Makefile", 0, 0, 25, 0, 29, 15, 69
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__ALL.cpp", "C++", 0, 14, 0, 0, 1, 1, 16
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Dpi.cpp", "C++", 0, 2, 0, 0, 12, 3, 17
"/home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_npc__Dpi.h", "C++", 0, 11, 0, 0, 8, 8, 27
